שם,סוג,קישור,תיאור,תגיות,חינם/תשלום
Poline,כלי,Poline — Esoteric Color Palette Generation Library,"כלי ייחודי ליצירת פלטות צבעים המבוסס על עקרונות גיאומטריים ומתמטיים. המערכת מאפשרת למעצבים לייצר שילובי צבעים הרמוניים ומרהיבים על ידי ""ציור"" קווים בתוך מרחב צבעים תלת-ממדי, מה שיוצר מעברים (Gradients) וקשרים חזותיים מרתקים.","צבעים ופלטות, UX/UI",חינם
Thiings,ספרייה/מאגר,Thiings,"אוסף אצור ומינימליסטי של מוצרים, אובייקטים ופרטי עיצוב יומיומיים. האתר מתמקד באסתטיקה נקייה ובפונקציונליות, ומשמש כמקור השראה למעצבי מוצר, מעצבים תעשייתיים וחובבי עיצוב מודרני.","השראה, עיצוב ווב ואתרים, לוגו וסמלים",חינם
Shapelax,פלאגין,Shapelax | Figma,"כלי המאפשר ליצור צורות אורגניות, גיאומטריות ומורכבות ישירות בתוך פיגמה. הוא מאפשר שליטה בפרמטרים של הצורה כדי לייצר אלמנטים ויזואליים ייחודיים לרקעים, איורים ועיצובי UI בצורה מהירה וגמישה.","UX/UI, עיצוב ווב ואתרים, Figma",חצי חינם (freemium)
Unicorn Studio,"אתר, כלי",Unicorn Studio,"פלטפורמה רבת-עוצמה ליצירת אפקטים חזותיים, אנימציות מורכבות ואינטראקציות לאתרי אינטרנט ללא צורך בכתיבת קוד. הכלי מאפשר למעצבים לייצא את היצירות לקבצי Lottie, וידאו או קוד (WebGL) ולהטמיע אותם בקלות בפרויקטים דיגיטליים.","עיצוב ווב ואתרים, UX/UI",חצי חינם (freemium)
Color Disruptions,Assets,Color Disruptions,"אוסף של טקסטורות, רקעים ואלמנטים גרפיים המאופיינים בשילובי צבעים עזים, עיוותים חזותיים (Distortions) ואסתטיקה מודרנית-ניסיונית. הנכסים מיועדים לשימוש בפרויקטים של מיתוג, פוסטרים ועיצוב דיגיטלי הדורשים מראה ייחודי ובולט.",טקסטורות,תשלום/מנוי
Image Sorter (by Larixk),כלי,Bitmap sorter by larixk,"כלי אינטראקטיבי המאפשר למשתמשים להעלות תמונה ולבצע עליה מניפולציה של ""מיון פיקסלים"" (Pixel Sorting) בזמן אמת. הכלי מארגן מחדש את הפיקסלים בתמונה לפי ערכי צבע או בהירות, ויוצר אפקט חזותי נוזלי ומופשט.","עיבוד תמונה, כלי עבודה",חינם
Designercize,"אתר, כלי",DESIGNERCIZE,"כלי המיועד לתרגול ושיפור מיומנויות חשיבה עיצובית (Product Design) תחת לחץ זמן. האתר מייצר ""בריפים"" אקראיים לאתגרי עיצוב בדרגות קושי שונות, ומיועד למעצבי UI/UX שרוצים להתכונן לראיונות עבודה או לשפר את היצירתיות שלהם.","UX/UI, כלי עבודה",חינם
Kern Type,"כלי, אתר",Kern Type,"משחק אינטראקטיבי המלמד ומאמן מעצבים על ""קרינינג"" (Kerning) – אמנות ריווח האותיות. המשתמשים נדרשים להזיז אותיות כדי להגיע לריווח מושלם מבחינה חזותית, ומקבלים ציון על הדיוק שלהם בהשוואה לטיפוגרפים מומחים.",טיפוגרפיה,חינם
Procedural Crowds,פלאגין,Procedural Crowds - Superhive (formerly Blender Market),"כלי מתקדם ליצירת קהלים והמוני אנשים בתלת-ממד בצורה פרוצדורלית. התוסף מאפשר למדל ולנהל קהלים גדולים עם סוגי התנהגות שונים (עמידה, הליכה, מחיאת כפיים ועוד) בקלות ובמהירות בתוך סביבת Blender.","3D, Blender",תשלום/מנוי
Tooooools,"אתר, כלי",Tooooools.app,"אינדקס אצור ומקיף המרכז כלים ומשאבים דיגיטליים עבור מעצבים ואנשי קריאייטיב. האתר כולל קישורים לכלי בינה מלאכותית, טיפוגרפיה, פלטות צבעים, השראה לעיצוב אתרים ועוד, הכל תחת ממשק נקי ונוח לניווט.","עיבוד תמונה, כלי עבודה",חינם
Recraft,אתר,Recraft | AI,"כלי בינה מלאכותית מתקדם המיועד למעצבים, המאפשר יצירה ועריכה של איורים וקטוריים, אייקונים, לוגואים ותמונות פוטו-ריאליסטיות. הייחוד שלו הוא היכולת לייצא קבצים בפורמט SVG ולשמור על עקביות סגנונית גבוהה לאורך כל הפרויקט.","GenAI, איור, עיצוב ווב ואתרים, UX/UI, מוקאפ",חצי חינם (freemium)
Fontshare,ספרייה/מאגר,Fontshare,"שירות פונטים מבית Indian Type Foundry (ITF) המציע אוסף אצור של פונטים מקצועיים ואיכותיים לשימוש אישי ומסחרי. האתר מספק ממשק נוח לבחינת הפונטים, התאמת הגדרות והורדה או הטמעה ישירה באתרי אינטרנט.","טיפוגרפיה, עיצוב ווב ואתרים",חינם
Color Hunt,"אתר, השראה",Color Hunt,"פלטפורמה פתוחה ופופולרית המציעה אלפי פלטות צבעים אצורות. המעצבים יכולים לדפדף בין שילובי צבעים לפי פופולריות, טרנדים או קטגוריות (כמו ""רטרו"", ""קיץ"" או ""ניאון"") ולהעתיק בקלות קודי צבע (HEX) לשימוש מיידי.",צבעים ופלטות,חינם
Coolors,"אתר, השראה",Coolors,"כלי פופולרי ומהיר במיוחד ליצירה, ניהול ושיתוף של פלטות צבעים. הוא מאפשר לייצר שילובים הרמוניים בלחיצת כפתור (Spacebar), לחלץ צבעים מתמונות, לבדוק ניגודיות (Accessibility) ולייצא את הפלטות למגוון פורמטים עבור מעצבים ומפתחים.",צבעים ופלטות,חצי חינם (freemium)
Cosmos,"ספרייה/מאגר, השראה",Cosmos,"כלי מודרני לאיסוף ואוצרות של תוכן חזותי (תמונות, וידאו, קישורים) המיועד לאנשי קריאייטיב. מדור ה-Public Work מציג אוספים ציבוריים ואוצרות של מעצבים ואמנים, ומהווה חלופה אסתטית ונקייה מפלטפורמות כמו פינטרסט, ללא פרסומות או אלגוריתמים מסיחים.","השראה, תמונות סטוק",חצי חינם (freemium)
The HTML Review (Issue 04),"אתר, ספרייה/מאגר, השראה",The HTML Review,"מגזין שנתי המוקדש ליצירות שנכתבו ""עבור הדפדפן"". הוא מציג שילוב של ספרות, שירה ואמנות קוד המנצלים את המדיום הדיגיטלי (HTML/JS) ליצירת חוויות קריאה אינטראקטיביות ויוצאות דופן.","עיצוב ווב ואתרים, השראה",חינם
Metaflop,כלי,Metaflop,"כלי אינטראקטיבי המאפשר למשתמשים לעצב פונטים מותאמים אישית על ידי שינוי פרמטרים טיפוגרפיים (כמו עובי, נטייה ורוחב) בזמן אמת. המערכת מבוססת על Metafont ומאפשרת לייצא את התוצאה כפונט לשימוש חופשי.","טיפוגרפיה, כלי עבודה",חינם
Design Spells,השראה,Design Spells,"אוסף אצור של ""רגעים קסומים"" בעיצוב מוצרים דיגיטליים. האתר מתמקד בפרטים הקטנים שעושים הבדל גדול בחוויית המשתמש, כמו אנימציות מעבר, אינטראקציות ייחודיות ופיצ'רים מפתיעים (Easter Eggs) באפליקציות ובאתרים מובילים.","UX/UI, עיצוב ווב ואתרים",חינם
Swissted,"השראה, ספרייה/מאגר",Swissted,"פרויקט אמנותי של המעצב מייק ג'ויס, המעצב מחדש פוסטרים של הופעות פאנק ורוק קלאסיות בסגנון הטיפוגרפי השוויצרי הבינלאומי. האתר מציג מאות פוסטרים המשלבים אסתטיקה מודרניסטית נקייה עם תרבות מוזיקת שוליים.","השראה, טיפוגרפיה, עיצוב גרפי",חינם
Viewport,ספרייה/מאגר,Viewport UI,"ספרייה אצורה המתמקדת בעיצוב ממשקים עם דגש על תנועה (Motion Design). האתר מציג דוגמאות איכותיות לרכיבי ממשק, אינטראקציות ואנימציות מורכבות מאפליקציות ואתרים מובילים, במטרה לספק השראה למעצבי מוצר ומפתחים.","השראה, UX/UI, Motion Design",חינם
ColorSpace,כלי,Color Space,"כלי פשוט ויעיל המאפשר להזין קוד צבע אחד (HEX) ולקבל באופן מיידי עשרות פלטות צבעים תואמות בסגנונות שונים. בנוסף, האתר כולל כלים ליצירת מעברי צבע (Gradients) וקוד CSS מוכן לשימוש עבור מפתחים ומעצבים.","צבעים ופלטות, UX/UI, עיצוב ווב ואתרים",חינם
Texturelabs,"ספרייה/מאגר, מדריך, Assets",Texture Labs,"ספרייה רחבת היקף של טקסטורות באיכות גבוהה מאוד (4K ומעלה), מברשות לפוטושופ, שכבות (Overlays) ומדריכים מקצועיים. האתר נחשב לאחד המקורות האיכותיים ביותר למעצבים גרפיים ואמני אפקטים ויזואליים המחפשים מראה ריאליסטי.","השראה, תמונות סטוק, טקסטורות, עיצוב גרפי",חינם
Brands in Motion,"ספרייה/מאגר, השראה",Brands In Motion,"אוסף אצור של דוגמאות מיתוג וזהות ויזואלית המתמקדות באנימציה ותנועה. האתר מציג כיצד מותגים מובילים מיישמים לוגואים בתנועה, טיפוגרפיה דינמית ומערכות עיצוב אינטראקטיביות, ומשמש כמקור השראה למעצבי מושן ומעצבי מותג.","מיתוג, Motion Design, UX/UI",חינם
Antlii,"Assets, כלי",Antlii,"פלטפורמה המציגה את עבודותיו של המעצב אנטון סטאלמר, הכוללת כלים ייחודיים, ניסויים ויזואליים ומשאבים למעצבים. האתר מציג פרויקטים בתחומי הטיפוגרפיה, האנימציה והעיצוב האינטראקטיבי, ומציע לעיתים נכסים דיגיטליים להורדה או רכישה.","עיצוב גרפי, Motion Design, עיבוד תמונה",חצי חינם (freemium)
Spline,כלי,Spline,"כלי עיצוב תלת-ממדי מבוסס דפדפן המאפשר יצירת אובייקטים, סצנות ואינטראקציות תלת-ממדיות בקלות. הכלי מיועד למעצבי UI/UX ומאפשר הטמעה ישירה של אלמנטים תלת-ממדיים באתרי אינטרנט ואפליקציות עם יכולות תגובה בזמן אמת.","3D, Motion Design, כלי עבודה, UX/UI",חצי חינם (freemium)
SVG Repo,"ספרייה/מאגר, Assets",SVG Repo,"מאגר עצום של מעל 500,000 אייקונים וגרפיקה וקטורית בפורמט SVG. האתר מאפשר חיפוש קל לפי קטגוריות או אוספים, הורדה מהירה, ואף כולל כלי עריכה בסיסי לשינוי צבעים וצורות של האייקונים לפני ההורדה.","אייקונים, UX/UI, לוגו וסמלים",חינם
Hugeicons Pro,"ספרייה/מאגר, Assets",Hugeicons,"ספריית אייקונים מקיפה ואיכותית הכוללת מעל 27,000 אייקונים וקטוריים המעוצבים בסגנון נקי ומודרני. האתר מציע כלים נוחים למעצבים כמו תוסף לפיגמה (Figma plugin) וחבילות קוד למפתחים (React, Tailwind), עם דגש על עקביות ויזואלית רחבה.","אייקונים, UX/UI",חצי חינם (freemium)
Lucide,"ספרייה/מאגר, Assets",Icons – Lucide,"פרויקט קהילתי המבוסס על Feather Icons, המציע מאות אייקונים וקטוריים נקיים ועקביים. האתר מספק כלים קלים להטמעה עבור מפתחים (React, Vue, ועוד) ומעצבים (Figma), עם דגש על פשטות, גמישות ומשקל קל.","אייקונים, UX/UI",חינם
Heroicons,"ספרייה/מאגר, Assets",Heroicons,"סט אייקונים איכותי שעוצב על ידי היוצרים של Tailwind CSS. האתר מציע מאות אייקונים בשלושה סגנונות (Outline, Solid, Mini ו-Micro), המותאמים בצורה מושלמת לעיצוב ממשקים מודרניים וקלים להטמעה ישירה בקוד או בפיגמה.","אייקונים, UX/UI",חינם
British Library (Flickr),ספרייה/מאגר,British Library | Flickr,"אוסף עצום של מעל למיליון תמונות, איורים, מפות וסריקות מתוך ספרים וכתבי יד עתיקים שנסרקו על ידי הספרייה הבריטית. המאגר מיועד לשימוש חופשי ומהווה מקור יוצא דופן להשראה ויזואלית, מחקר ושימוש בעיצובים המשלבים אלמנטים וינטג'.",תמונות סטוק,חינם
21st.dev,ספרייה/מאגר,21st.dev,"ספרייה המרכזת רכיבי UI איכותיים וחדשניים שנוצרו על ידי הקהילה, בעיקר עבור React ו-Tailwind CSS. האתר מאפשר למפתחים להעתיק קוד של כפתורים, תפריטים, אנימציות ורכיבים מורכבים יותר (כמו רכיבי Shadcn UI מותאמים) ישירות לפרויקטים שלהם.","UX/UI, עיצוב ווב ואתרים",חינם
Typeface Animator,כלי,Typeface Animator,"כלי אינטראקטיבי המאפשר למעצבים ליצור אנימציות טקסט מורכבות וייחודיות ישירות בדפדפן. המערכת מאפשרת שליטה בפרמטרים של תנועה, קצב וסגנון, וייצוא של התוצאה כקוד או כקובץ וידאו/אנימציה לשימוש בפרויקטים דיגיטליים.","טיפוגרפיה, כלי עבודה",חצי חינם (freemium)
Pigment,כלי,Pigment,"כלי ייחודי ליצירת פלטות צבעים המבוסס על ""פיגמנט"" ו""תאורה"" במקום על נוסחאות מתמטיות קשיחות. הוא מאפשר למעצבים לשנות את רוויית הצבע ואת רמת הבהירות בצורה ויזואלית ומהירה, ומציג פלטות הרמוניות המבוססות על תמונות איכותיות מ-Unsplash.",צבעים ופלטות,חינם
Velvetyne Type Foundry,"ספרייה/מאגר, השראה",Velvetyne,"קולקטיב צרפתי המעצב ומפיץ פונטים ניסיוניים, אמנותיים וייחודיים תחת רישיונות קוד פתוח. האתר מהווה מוקד למעצבים המחפשים טיפוגרפיה נועזת ויוצאת דופן שאינה נמצאת במאגרים הסטנדרטיים, תוך עידוד חופש יצירתי ושיתוף פעולה.","טיפוגרפיה, עיצוב גרפי",חינם
The Noun Project,"ספרייה/מאגר, Assets",The Noun Project,"אחד המאגרים הגדולים והמוכרים בעולם לאייקונים וסמלים ויזואליים, המכיל מיליוני עיצובים שנוצרו על ידי קהילה גלובלית. בנוסף לאייקונים, האתר מציע ספריית תמונות סטוק איכותיות המתמקדות בגיוון והכלה. האתר משמש כסטנדרט עבור מעצבים המחפשים שפה חזותית פשוטה וברורה.","אייקונים, UX/UI, תמונות סטוק",חצי חינם (freemium)
Ransom Note Generator,כלי,Ransom Note Generator,"כלי יצירתי ומשעשע המאפשר למשתמשים להקליד טקסט וליצור ממנו באופן מיידי עיצוב בסגנון ""מכתב כופר"" (גזרי אותיות מעיתונים ומגזינים בגדלים וסגנונות שונים). ניתן להוריד את התוצאה כתמונה לשימוש בפרויקטים גרפיים.","טיפוגרפיה, עיצוב גרפי, עיצוב ווב ואתרים",חינם
Metalabel,כלי,Metalabel,"פלטפורמה חדשנית המאפשרת לקבוצות של יוצרים (מכונים ""Labels"") לשתף פעולה, להוציא לאור ולמכור עבודות יצירתיות יחד. האתר משלב כלים לניהול קולקטיבים, מכירת מהדורות מוגבלות של מוצרים דיגיטליים ופיזיים, ומודלים כלכליים חדשים המיועדים לאמנים, כותבים ומעצבים בעידן האינטרנט החדש.","השראה, איור, כלי עבודה, עיצוב גרפי",חצי חינם (freemium)
Savee,"אתר, ספרייה/מאגר",Savee,"כלי פופולרי בקרב מעצבים המאפשר לשמור, לארגן ולשתף תמונות וסרטוני השראה מרחבי הרשת. הוא מתאפיין בממשק נקי מאוד (מינימליסטי) ומתמקד באיכות ויזואלית גבוהה, ומהווה חלופה אסתטית ומקצועית יותר לפינטרסט עבור קהילת הקריאייטיב.","תמונות סטוק, השראה, כלי עבודה",חינם
It's Nice That,ספרייה/מאגר,It's Nice That,"אחד המגזינים המובילים והמשפיעים בעולם בתחום התרבות הוויזואלית. האתר מציג פרויקטים נבחרים, ראיונות עם אמנים וחדשות בתחומי העיצוב הגרפי, האיור, הצילום והאנימציה. הוא משמש כצומת מרכזית לגילוי כישרונות חדשים ומגמות עכשוויות בעולם העיצוב.","מיתוג, השראה, איור, עיצוב גרפי",חינם
Typeverything,ספרייה/מאגר,Typeverything,"פלטפורמה המציגה עבודות טיפוגרפיה יוצאות דופן ואוצרות של פונטים איכותיים ומעוצבים. האתר משמש הן כבלוג השראה המציג לטרינג (Lettering) ועיצובי אותיות של אמנים מרחבי העולם, והן כחנות שבה ניתן לרכוש פונטים ייחודיים ומודרניים לשימוש מקצועי.","טיפוגרפיה, השראה",חצי חינם (freemium)
WebGL Fluid Simulation,כלי,WebGL Fluid Simulation,"סימולציית נוזלים מרהיבה ומבוססת דפדפן המשתמשת בטכנולוגיית WebGL. המשתמש יכול ""לשחק"" עם הנוזל באמצעות העכבר או המגע, לשנות פרמטרים כמו צמיגות, צבע וצפיפות, ולראות כיצד המערכת מגיבה בזמן אמת. הכלי משמש הן כניסוי ויזואלי מהפנט והן כדוגמה ליכולות גרפיות מתקדמות ברשת.","UX/UI, Motion Design, עיצוב ווב ואתרים",חינם
Geometrize,כלי,Geometrize,"כלי הממיר תמונות רגילות ליצירות אמנות המורכבות מצורות גיאומטריות (כגון עיגולים, משולשים ומלבנים). המערכת משחזרת את התמונה המקורית באמצעות אלגוריתם אופטימיזציה, ומאפשרת לייצא את התוצאה כקוד SVG, תמונות או אנימציות.","עיבוד תמונה, GenAI",חינם
Silk (WeaveSilk),כלי,Silk,"כלי יצירתי המאפשר למשתמשים לצייר ""אריגי"" אור סימטריים ומרהיבים באמצעות תנועות עכבר. הכלי משתמש באלגוריתמים ליצירת צורות אורגניות וצבעוניות דמויות משי או עשן, ומאפשר שליטה ברמת הסימטריה ובצבעים. התוצאה היא אמנות דיגיטלית ייחודית שניתן לשמור כתמונה.",GenAI,חינם
Mooodboard,השראה,Mooodboard,"כלי פשוט ומהיר ליצירת לוחות השראה ויזואליים. האתר מאפשר למשתמשים לגרור ולהניח תמונות, לארגן אותן על גבי קנבס נקי ולשתף את התוצאה עם אחרים. הוא מתמקד בחוויית משתמש נטולת הסחות דעת עבור מעצבים ואנשי קריאייטיב בשלבי המחקר והקונספט.",השראה,חינם
Mockup Maison,ספרייה/מאגר,Mockup.Maison,"סטודיו לעיצוב המציע מוקאפים איכותיים וריאליסטיים במיוחד להצגת עבודות עיצוב. האתר מתמקד באסתטיקה נקייה ומודרנית, עם דגש על צילום מקצועי של אריזות, מכשירים דיגיטליים ומוצרי פרינט, המאפשרים למעצבים להציג את הפרויקטים שלהם בצורה מרשימה ומשכנעת.",מוקאפ,תשלום/מנוי
Bendito Mockup,ספרייה/מאגר,Bendito Mockup,"סטודיו לעיצוב המציע מוקאפים ייחודיים בעלי אופי אמנותי וריאליסטי מאוד. האתר מתמקד באיכות גבוהה ובתפאורות בעלות סגנון מובחן (כמו טקסטורות אורגניות, צללים טבעיים ואווירה קולנועית), שנועדו להעניק לעבודות מיתוג ועיצוב מראה יוקרתי ויוצא דופן.",מוקאפ,חצי חינם (freemium)
Type Dither,כלי,Type Dither,"כלי יצירתי המאפשר להחיל אפקט ""Dithering"" (טכניקת עיבוד תמונה מבוססת נקודות/פיקסלים) על טקסט. המשתמש יכול להקליד טקסט, לבחור גופנים ולשלוט בפרמטרים של האפקט ליצירת מראה רטרו-דיגיטלי או אמנותי הייחודי למדפסות ישנות ומסכי מחשב מוקדמים.","עיבוד תמונה, טיפוגרפיה",חינם
Fontbrief,כלי,Font Brief,"מנוע חיפוש ייחודי המאפשר למצוא פונטים לא על פי קטגוריות טכניות, אלא על פי ""תכונות אישיות"" (כמו: נועז מול אלגנטי, ידידותי מול סמכותי). הכלי עוזר למעצבים לבחור טיפוגרפיה שמתאימה לערכי המותג שלהם באמצעות מערכת סינון אינטואיטיבית.","טיפוגרפיה, מיתוג, השראה",חינם
Meshy,אתר,Meshy AI,"פלטפורמה מתקדמת המשתמשת בבינה מלאכותית כדי להפוך טקסט או תמונות דו-ממדיות למודלים תלת-ממדיים מלאים כולל טקסטורות. הכלי מאפשר למפתחי משחקים, מעצבים ואמנים ליצור נכסי 3D במהירות גבוהה, לבצע ""טקסטור"" אוטומטי למודלים קיימים ולייצא אותם לתוכנות עיצוב ופיתוח משחקים.","3D, Blender, UX/UI, GenAI",חצי חינם (freemium)
Fountn,"ספרייה/מאגר, Assets",Fountn,"אינדקס מקיף ומקוטלג היטב של משאבי עיצוב מכל הסוגים. האתר מרכז קישורים לכלים הטובים ביותר ברשת בתחומים כמו פונטים, אייקונים, השראה, מוקאפים, צבעים ואיורים. הוא נועד לחסוך זמן למעצבים בחיפוש אחר הכלים הנכונים לכל פרויקט.","אייקונים, טיפוגרפיה, UX/UI, השראה, עיצוב ווב ואתרים, Motion Design",חינם
Moshpro,כלי,Mosh-Pro,"אפליקציית ווב המאפשרת להחיל אפקטים של Datamoshing (שיבוש מכוון של פיקסלים) ו-Glitch Art על תמונות וסרטונים. הכלי מספק ממשק ויזואלי לעיוות תמונות בצורה אמנותית, המדמה שגיאות דחיסה דיגיטליות, ומתאים מאוד ליצירת תוכן ויזואלי בסגנון Lo-fi או אסתטיקה של ""תקלות"" (Glitch).","עיצוב גרפי, עיבוד תמונה",תשלום/מנוי
Enfont Terrible,כלי,Enfont Terrible,"כלי ניסיוני ומרהיב המאפשר למשתמשים ליצור פונטים משלהם על ידי עיוות ושינוי פרמטרים של אותיות בזמן אמת. הממשק מבוסס על תנועה ושינויים צורניים קיצוניים, ומאפשר לייצא את הפונט שנוצר כקובץ לשימוש אישי. זהו פרויקט המשלב בין טיפוגרפיה לאמנות דיגיטלית וקוד.","טיפוגרפיה, עיבוד תמונה",חינם
Schultzschultz Tools,כלי,Tools,"דף המרכז מגוון רחב של כלים אינטראקטיביים שפותחו על ידי סטודיו Schultzschultz. הכלים מאפשרים למעצבים לחקור צורות, טיפוגרפיה ותנועה בדרכים לא קונבנציונליות, כולל מחוללי פונטים, כלי עיוות ויזואלי ומערכות מבוססות רשת (Grids). זהו ""מגרש משחקים"" יצירתי לאנשי קריאייטיב המחפשים אסתטיקה ייחודית ומבוססת קוד.","טיפוגרפיה, עיצוב גרפי, כלי עבודה, עיבוד תמונה",חינם
Minimal Mockups,ספרייה/מאגר,Minimal Mockups,"אתר המציע אוסף נבחר של מוקאפים להצגת עבודות עיצוב, המתאפיינים באסתטיקה נקייה, מינימליסטית ומודרנית. המוקאפים מתמקדים במכשירים דיגיטליים ומוצרי פרינט בסביבות ניטרליות, מה שמאפשר לעיצוב עצמו להיות במרכז ללא הסחות דעת ויזואליות.",מוקאפ,חצי חינם (freemium)
Maneken,"ספרייה/מאגר, כלי",Maneken.app,"פלטפורמה אינטראקטיבית המאפשרת למעצבים ליצור ולהציג את העבודות שלהם על גבי מודלים תלת-ממדיים של מוצרים שונים (כמו אריזות, בקבוקים וביגוד). הכלי מאפשר שליטה מלאה בזוויות המצלמה, בתאורה ובטקסטורות ישירות בדפדפן, ומספק תוצאה ריאליסטית להצגת פרויקטים של מיתוג ועיצוב מוצר.",מוקאפ,חצי חינם (freemium)
UI Ball,ספרייה/מאגר,UI Ball,"אוסף של אנימציות טעינה (Spinners & Loaders) מודרניות, קלילות ומעוצבות היטב. האתר מאפשר למעצבי ומפתחי ווב לבחור מתוך מגוון סגנונות, להתאים אישית צבעים ומהירות, ולהעתיק את הקוד (HTML/CSS או React) ישירות לפרויקט שלהם. הכלי מתמקד באסתטיקה נקייה ובביצועים גבוהים.","UX/UI, עיצוב ווב ואתרים",חינם
UI Colors,כלי,Tailwind CSS Color Generator,"כלי המיועד למעצבים ומפתחים ליצירת פלטות צבעים מותאמות אישית המבוססות על שיטת Tailwind CSS. הכלי מאפשר להזין צבע בסיס ולקבל באופן אוטומטי סקאלה של גוונים (מ-50 עד 950) תוך הצגת תצוגה מקדימה של איך הצבעים ייראו על גבי רכיבי ממשק אמיתיים כמו כפתורים, תפריטים וכרטיסים.","UX/UI, צבעים ופלטות, עיצוב ווב ואתרים, Figma",חינם
Khroma,כלי,Khroma - The AI color tool for designers,"כלי חכם הלומד את העדפות הצבעים שלכם (על ידי בחירה ראשונית של 50 צבעים אהובים) ומשתמש בבינה מלאכותית כדי ליצור אינסוף פלטות צבעים, שילובי טיפוגרפיה ותמונות המותאמים לטעם האישי שלכם. הכלי מאפשר לסנן שילובים לפי גוון, חמימות וניגודיות, ואף לבדוק נגישות.","צבעים ופלטות, GenAI, UX/UI",חינם
Free Faces,ספרייה/מאגר,Free Faces,"גלריה המציגה אוסף נבחר של פונטים איכותיים הזמינים להורדה בחינם תחת רישיונות שונים. האתר מתמקד באסתטיקה גבוהה ובטיפוגרפיה ייחודית, ומאפשר לסנן פונטים לפי סגנונות (כמו Serif, Sans, Display, Monospace ועוד). זהו מקור מצוין למציאת גופנים בעלי אופי שאינם נמצאים במאגרים הסטנדרטיים.","טיפוגרפיה, השראה",חינם
